"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","chloroplast thylakoid","194/5447","446/26913",0.434977578475336,2.14917414531058,12.3275572842839,0.0000000000000000000000000000297976146416,0.0000000000000000000000000107569388856176,0.00000000000000000000000000809240481845558,"AT1G03130/AT1G03600/AT1G05385/AT1G06680/AT1G07320/AT1G08520/AT1G08550/AT1G11860/AT1G12250/AT1G12410/AT1G14150/AT1G16880/AT1G20020/AT1G20340/AT1G20810/AT1G21500/AT1G21600/AT1G29390/AT1G29395/AT1G29670/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G50450/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G67700/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G06520/AT2G18710/AT2G20260/AT2G21960/AT2G22230/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G05410/AT3G08920/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G25860/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27160/AT3G27850/AT3G45980/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53460/AT3G53470/AT3G54890/AT3G55330/AT3G56650/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G60370/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G04330/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G13500/AT4G14870/AT4G18160/AT4G18370/AT4G19830/AT4G20130/AT4G23890/AT4G24770/AT4G24930/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G32770/AT4G33510/AT4G35250/AT4G37200/AT4G37930/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G10160/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G19940/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24490/AT5G42080/AT5G42270/AT5G44660/AT5G45680/AT5G46110/AT5G46390/AT5G48220/AT5G51545/AT5G52440/AT5G52970/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710/ATCG00740/ATCG00780",194
"GO:0031976","plastid thylakoid","195/5447","452/26913",0.43141592920354,2.13157644623735,12.2215447480088,0.000000000000000000000000000077295672383813,0.0000000000000000000000000139518688652782,0.0000000000000000000000000104959386710651,"AT1G03130/AT1G03600/AT1G05385/AT1G06680/AT1G07320/AT1G08520/AT1G08550/AT1G11860/AT1G12250/AT1G12410/AT1G14150/AT1G16880/AT1G20020/AT1G20340/AT1G20810/AT1G21500/AT1G21600/AT1G29390/AT1G29395/AT1G29670/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G50450/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G67700/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G06520/AT2G18710/AT2G20260/AT2G21960/AT2G22230/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G05410/AT3G08920/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G25860/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27160/AT3G27850/AT3G45980/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53460/AT3G53470/AT3G54890/AT3G55330/AT3G56650/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G60370/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G04330/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G13500/AT4G14870/AT4G18160/AT4G18370/AT4G19830/AT4G20130/AT4G23890/AT4G24770/AT4G24930/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G32770/AT4G33510/AT4G35250/AT4G37200/AT4G37930/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G10160/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G19940/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24490/AT5G35100/AT5G42080/AT5G42270/AT5G44660/AT5G45680/AT5G46110/AT5G46390/AT5G48220/AT5G51545/AT5G52440/AT5G52970/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710/ATCG00740/ATCG00780",195
"GO:0034357","photosynthetic membrane","166/5447","393/26913",0.422391857506361,2.08698954673558,10.9348038025748,0.0000000000000000000000154108216914391,0.00000000000000000000185443554353651,0.00000000000000000000139508491101449,"AT1G03130/AT1G03600/AT1G05385/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16720/AT1G16880/AT1G20020/AT1G20340/AT1G27510/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G56180/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G06520/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28605/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G41430/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G05410/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56650/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G31560/AT4G32260/AT4G33630/AT4G35250/AT4G37200/AT4G38160/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42270/AT5G44660/AT5G52440/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00080/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00550/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",166
"GO:0042651","thylakoid membrane","163/5447","388/26913",0.420103092783505,2.0756810236979,10.7509733648407,0.0000000000000000000000770540598490452,0.00000000000000000000695412890137633,0.00000000000000000000523156511606675,"AT1G03130/AT1G03600/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16720/AT1G16880/AT1G20020/AT1G20340/AT1G27510/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G56180/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G06520/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28605/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G41430/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G05410/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56650/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G31560/AT4G32260/AT4G33630/AT4G35250/AT4G37200/AT4G38160/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42270/AT5G44660/AT5G52440/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",163
"GO:0009535","chloroplast thylakoid membrane","149/5447","352/26913",0.423295454545455,2.09145411569338,10.383187960722,0.0000000000000000000022469182560652,0.000000000000000000162227498087907,0.000000000000000000122043138961015,"AT1G03130/AT1G03600/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16880/AT1G20020/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G06520/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G21930/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42270/AT5G44660/AT5G52440/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",149
"GO:0055035","plastid thylakoid membrane","151/5447","360/26913",0.419444444444444,2.07242671807111,10.3190137261075,0.00000000000000000000352428524488361,0.000000000000000000212044495567164,0.000000000000000000159520279505258,"AT1G03130/AT1G03600/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16880/AT1G20020/AT1G20340/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G06520/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G20660/AT3G23840/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42270/AT5G44660/AT5G52440/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",151
"GO:0019867","outer membrane","183/5447","472/26913",0.38771186440678,1.915639692818,10.10957234401,0.00000000000000000000847975446707993,0.000000000000000000382648920326982,0.000000000000000000287865349014029,"AT1G02280/AT1G03130/AT1G03600/AT1G04280/AT1G05270/AT1G06530/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16880/AT1G19400/AT1G20020/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G50460/AT1G51400/AT1G53000/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G79040/AT2G01110/AT2G06520/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G28900/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G37410/AT2G39470/AT2G42210/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G16480/AT3G16620/AT3G19720/AT3G20660/AT3G23840/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G49920/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G02480/AT4G02510/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G16160/AT4G23890/AT4G24770/AT4G25080/AT4G26670/AT4G28025/AT4G28750/AT4G32260/AT4G35450/AT4G36650/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G12390/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G20300/AT5G21930/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G35210/AT5G42080/AT5G42270/AT5G44660/AT5G51020/AT5G51720/AT5G52440/AT5G52882/AT5G53490/AT5G54270/AT5G57490/AT5G59400/AT5G64040/AT5G66055/AT5G66570/AT5G67500/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",183
"GO:0031968","organelle outer membrane","183/5447","472/26913",0.38771186440678,1.915639692818,10.10957234401,0.00000000000000000000847975446707993,0.000000000000000000382648920326982,0.000000000000000000287865349014029,"AT1G02280/AT1G03130/AT1G03600/AT1G04280/AT1G05270/AT1G06530/AT1G06680/AT1G07320/AT1G08550/AT1G12250/AT1G14150/AT1G16880/AT1G19400/AT1G20020/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G50460/AT1G51400/AT1G53000/AT1G54500/AT1G54520/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G79040/AT2G01110/AT2G06520/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G28900/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G37410/AT2G39470/AT2G42210/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G08940/AT3G15360/AT3G15520/AT3G16140/AT3G16480/AT3G16620/AT3G19720/AT3G20660/AT3G23840/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G49920/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56690/AT3G56910/AT3G56940/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G02480/AT4G02510/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G16160/AT4G23890/AT4G24770/AT4G25080/AT4G26670/AT4G28025/AT4G28750/AT4G32260/AT4G35450/AT4G36650/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G12390/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G20300/AT5G21930/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G35210/AT5G42080/AT5G42270/AT5G44660/AT5G51020/AT5G51720/AT5G52440/AT5G52882/AT5G53490/AT5G54270/AT5G57490/AT5G59400/AT5G64040/AT5G66055/AT5G66570/AT5G67500/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",183
"GO:0042170","plastid membrane","187/5447","493/26913",0.379310344827586,1.8741287516697,9.86753261147896,0.0000000000000000000529556945779714,0.00000000000000000212411174918307,0.00000000000000000159796131007212,"AT1G02280/AT1G03130/AT1G03600/AT1G06680/AT1G07320/AT1G08550/AT1G08570/AT1G12250/AT1G14150/AT1G16720/AT1G16880/AT1G19400/AT1G20020/AT1G20340/AT1G25290/AT1G29390/AT1G29395/AT1G29910/AT1G29920/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G33810/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G54500/AT1G54520/AT1G55670/AT1G55930/AT1G61520/AT1G64510/AT1G65260/AT1G67090/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G79040/AT2G01110/AT2G06520/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G24020/AT2G25080/AT2G26240/AT2G26340/AT2G26500/AT2G27290/AT2G28800/AT2G28900/AT2G30440/AT2G30570/AT2G30790/AT2G30950/AT2G31040/AT2G33800/AT2G34420/AT2G34430/AT2G36250/AT2G37220/AT2G39470/AT2G42210/AT2G44920/AT2G45180/AT2G47940/AT3G01480/AT3G01500/AT3G08940/AT3G09860/AT3G11170/AT3G15360/AT3G15520/AT3G16140/AT3G16620/AT3G19720/AT3G20320/AT3G20660/AT3G23840/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G47860/AT3G51510/AT3G52230/AT3G53470/AT3G54890/AT3G55330/AT3G56690/AT3G56910/AT3G56940/AT3G57280/AT3G58010/AT3G61470/AT3G63160/AT3G63490/AT4G01050/AT4G02510/AT4G03280/AT4G03520/AT4G05180/AT4G09010/AT4G10340/AT4G12800/AT4G14870/AT4G16160/AT4G23890/AT4G24770/AT4G25080/AT4G26670/AT4G28025/AT4G28750/AT4G30580/AT4G31040/AT4G31780/AT4G32260/AT4G32770/AT4G33460/AT4G35450/AT4G36650/AT4G37200/AT4G38490/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G08540/AT5G13410/AT5G14740/AT5G14910/AT5G16620/AT5G16660/AT5G17170/AT5G20300/AT5G21930/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24690/AT5G35210/AT5G42080/AT5G42270/AT5G44660/AT5G51020/AT5G52440/AT5G53490/AT5G54270/AT5G59400/AT5G64040/AT5G66055/AT5G66570/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",187
"GO:0031977","thylakoid lumen","43/5447","69/26913",0.623188405797101,3.07910217830317,8.71069637346819,0.0000000000000307497085185126,0.00000000000111006447751831,0.000000000000835097347134343,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G12250/AT1G14150/AT1G20340/AT1G20810/AT1G50250/AT1G67090/AT2G01918/AT2G30790/AT2G30950/AT2G39470/AT2G44920/AT3G01480/AT3G03630/AT3G05410/AT3G15520/AT3G47860/AT3G55330/AT3G56650/AT3G58010/AT3G60370/AT4G05180/AT4G09010/AT4G18370/AT4G19830/AT4G24930/AT4G26555/AT4G37200/AT4G39710/AT5G13410/AT5G23120/AT5G35100/AT5G45680/AT5G46390/AT5G52970/AT5G53490/AT5G64040/AT5G66570/ATCG00120/ATCG00480",43
"GO:0009521","photosystem","38/5447","63/26913",0.603174603174603,2.98021628331891,7.92659865560728,0.00000000000410306937078417,0.000000000134655276623008,0.00000000010130066006338,"AT1G03130/AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G14150/AT1G31330/AT1G55670/AT1G79040/AT2G01918/AT2G20260/AT2G28605/AT2G30790/AT2G39470/AT3G05410/AT3G16140/AT3G55330/AT3G56650/AT3G61470/AT4G05180/AT4G10340/AT4G12800/AT4G28750/AT5G64040/AT5G66570/ATCG00070/ATCG00080/ATCG00270/ATCG00280/ATCG00300/ATCG00550/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",38
"GO:0031978","plastid thylakoid lumen","33/5447","51/26913",0.647058823529412,3.19704316461301,7.91098602464072,0.00000000000659243862343218,0.000000000198322528588251,0.000000000149197295161886,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G12250/AT1G14150/AT1G20340/AT1G20810/AT2G01918/AT2G30790/AT2G39470/AT2G44920/AT3G01480/AT3G05410/AT3G15520/AT3G55330/AT3G56650/AT3G60370/AT4G05180/AT4G09010/AT4G18370/AT4G19830/AT4G24930/AT4G39710/AT5G13410/AT5G23120/AT5G35100/AT5G45680/AT5G46390/AT5G52970/AT5G53490/AT5G64040/AT5G66570",33
"GO:0009543","chloroplast thylakoid lumen","32/5447","50/26913",0.64,3.16216633008996,7.70855469820407,0.0000000000212582369853965,0.000000000590324888594473,0.000000000444099201800187,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G12250/AT1G14150/AT1G20340/AT1G20810/AT2G01918/AT2G30790/AT2G39470/AT2G44920/AT3G01480/AT3G05410/AT3G15520/AT3G55330/AT3G56650/AT3G60370/AT4G05180/AT4G09010/AT4G18370/AT4G19830/AT4G24930/AT4G39710/AT5G13410/AT5G23120/AT5G45680/AT5G46390/AT5G52970/AT5G53490/AT5G64040/AT5G66570",32
"GO:0009523","photosystem II","28/5447","44/26913",0.636363636363636,3.14419947594172,7.17037524884584,0.000000000466390563380661,0.000000012026213812887,0.00000000904727559039177,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G14150/AT1G79040/AT2G01918/AT2G28605/AT2G30790/AT2G39470/AT3G05410/AT3G55330/AT3G56650/AT4G05180/AT4G10340/AT5G66570/ATCG00070/ATCG00080/ATCG00270/ATCG00280/ATCG00300/ATCG00550/ATCG00560/ATCG00570/ATCG00580/ATCG00680/ATCG00690/ATCG00710",28
